,alpha,beta,rho,K,loglike
112,0.05,5,0.05,4,-636.8579926714206
113,0.05,5,0.05,5,-633.5992052570623
114,0.05,5,0.05,6,-631.9785149302982
115,0.05,5,0.1,2,-631.2859243021026
116,0.05,5,0.1,3,-617.5824752655433
117,0.05,5,0.1,4,-607.6770454215348
118,0.05,5,0.1,5,-601.476431637749
119,0.05,5,0.1,6,-598.4078220691231
120,0.05,5,0.15000000000000002,2,-614.0169200356355
121,0.05,5,0.15000000000000002,3,-594.120059065209
122,0.05,5,0.15000000000000002,4,-579.8456949722303
123,0.05,5,0.15000000000000002,5,-570.986712003262
124,0.05,5,0.15000000000000002,6,-566.6232040786647
125,0.05,5,0.2,2,-597.2623928736775
126,0.05,5,0.2,3,-571.5586346409774
127,0.05,5,0.2,4,-553.2542250662513
128,0.05,5,0.2,5,-541.9943139159678
129,0.05,5,0.2,6,-536.4739552638307
130,0.05,5,0.25,2,-580.9902719269472
131,0.05,5,0.25,3,-549.8345744214325
132,0.05,5,0.25,4,-527.8098807090889
133,0.05,5,0.25,5,-514.3866790066967
134,0.05,5,0.25,6,-507.836473208379
135,0.05,5,0.30000000000000004,2,-565.1722255591205
136,0.05,5,0.30000000000000004,3,-528.8928996587102
137,0.05,5,0.30000000000000004,4,-503.43403949173876
138,0.05,5,0.30000000000000004,5,-488.07080132828423
139,0.05,5,0.30000000000000004,6,-480.61013858778233
140,0.05,5,0.35000000000000003,2,-549.7830796367972
141,0.05,5,0.35000000000000003,3,-508.68597066397706
142,0.05,5,0.35000000000000003,4,-480.06014481091324
143,0.05,5,0.35000000000000003,5,-462.9707621702543
144,0.05,5,0.35000000000000003,6,-454.7146392289159
145,0.05,5,0.4,2,-534.8003597159378
146,0.05,5,0.4,3,-489.1725061920081
147,0.05,5,0.4,4,-457.63223106574725
148,0.05,5,0.4,5,-439.0262269140106
149,0.05,5,0.4,6,-430.08853395469686
150,0.05,5,0.45,2,-520.2039266799139
151,0.05,5,0.45,3,-470.3168686457962
152,0.05,5,0.45,4,-436.10394394569005
153,0.05,5,0.45,5,-416.1918435947993
154,0.05,5,0.45,6,-406.6890378393017
155,0.05,5,0.5,2,-505.9756844400888
156,0.05,5,0.5,3,-452.08858268461717
157,0.05,5,0.5,4,-415.43801948929536
158,0.05,5,0.5,5,-394.4376213005002
159,0.05,5,0.5,6,-384.4932190689733
160,0.05,5,0.55,2,-492.0993445038935
161,0.05,5,0.55,3,-434.462085151847
162,0.05,5,0.55,4,-395.6062491896524
163,0.05,5,0.55,5,-373.7505534671159
164,0.05,5,0.55,6,-363.50110096717646
165,0.05,5,0.6000000000000001,2,-478.5602365874178
166,0.05,5,0.6000000000000001,3,-417.4167437972202
167,0.05,5,0.6000000000000001,4,-376.5900457085158
168,0.05,5,0.6000000000000001,5,-354.1380635541138
169,0.05,5,0.6000000000000001,6,-343.74169558222394
170,0.05,5,0.65,2,-465.34515767789253
171,0.05,5,0.65,3,-400.9372493451891
172,0.05,5,0.65,4,-358.38187394129625
173,0.05,5,0.65,5,-335.63445563997504
174,0.05,5,0.65,6,-325.2840587178298
175,0.05,5,0.7000000000000001,2,-452.4422544919855
176,0.05,5,0.7000000000000001,3,-385.01462353039165
177,0.05,5,0.7000000000000001,4,-340.9881175784606
178,0.05,5,0.7000000000000001,5,-318.312865731495
179,0.05,5,0.7000000000000001,6,-308.2578110256942
180,0.05,5,0.75,2,-439.8409364714114
181,0.05,5,0.75,3,-369.6484160242848
182,0.05,5,0.75,4,-324.43466529336564
183,0.05,5,0.75,5,-302.3083992479639
184,0.05,5,0.75,6,-292.89337653192814
185,0.05,5,0.8,2,-427.53181861717763
186,0.05,5,0.8,3,-354.8515803085569
187,0.05,5,0.8,4,-308.77843511635945
188,0.05,5,0.8,5,-287.8670000175329
189,0.05,5,0.8,6,-279.6085234285852
190,0.05,5,0.8500000000000001,2,-415.50669594180863
191,0.05,5,0.8500000000000001,3,-340.6625822096348
192,0.05,5,0.8500000000000001,4,-294.1343796954838
193,0.05,5,0.8500000000000001,5,-275.4640592487735
194,0.05,5,0.8500000000000001,6,-269.22268100181395
195,0.05,5,0.9,2,-403.7585546227911
196,0.05,5,0.9,3,-327.1826906437061
197,0.05,5,0.9,4,-280.75471783833257
198,0.05,5,0.9,5,-266.1649149282862
199,0.05,5,0.9,6,-263.62120593174285
200,0.05,5,0.9500000000000001,2,-392.2816299265819
201,0.05,5,0.9500000000000001,3,-314.7508787159704
202,0.05,5,0.9500000000000001,4,-269.3870221913951
203,0.05,5,0.9500000000000001,5,-263.2992657350369
204,0.05,5,0.9500000000000001,6,-268.89160709820186
205,0.05,5,1.0,2,-381.0715292451206
206,0.05,5,1.0,3,-367.5943947881841
207,0.05,5,1.0,4,-364.77506024247435
208,0.05,5,1.0,5,-867.9232920189546
209,0.05,5,1.0,6,-1324.1878019959643
210,0.05,10,0.0,2,-474.9887859609495
211,0.05,10,0.0,3,-474.9887859609495
212,0.05,10,0.0,4,-474.9887859609495
213,0.05,10,0.0,5,-474.9887859609495
214,0.05,10,0.0,6,-474.9887859609495
215,0.05,10,0.05,2,-464.8388222034051
216,0.05,10,0.05,3,-460.95746465334287
217,0.05,10,0.05,4,-458.16074129143243
218,0.05,10,0.05,5,-456.43661844025587
219,0.05,10,0.05,6,-455.57743185644154
220,0.05,10,0.1,2,-454.95110625059027
221,0.05,10,0.1,3,-447.3998333811805
222,0.05,10,0.1,4,-441.9978304775949
223,0.05,10,0.1,5,-438.6999730832735
224,0.05,10,0.1,6,-437.0636566637082
225,0.05,10,0.15000000000000002,2,-445.3103303949452
226,0.05,10,0.15000000000000002,3,-434.28506493739246
227,0.05,10,0.15000000000000002,4,-426.4547626839243
228,0.05,10,0.15000000000000002,5,-421.72380734330113
229,0.05,10,0.15000000000000002,6,-419.386691801604
230,0.05,10,0.2,2,-435.9031136945166
231,0.05,10,0.2,3,-421.58689076424434
232,0.05,10,0.2,4,-411.4938248208445
233,0.05,10,0.2,5,-405.46370182456724
234,0.05,10,0.2,6,-402.49835436489894
235,0.05,10,0.25,2,-426.71768574138645
236,0.05,10,0.25,3,-409.28288705696946
237,0.05,10,0.25,4,-397.0837499642638
238,0.05,10,0.25,5,-389.8844858165409
239,0.05,10,0.25,6,-386.3615203473539
240,0.05,10,0.30000000000000004,2,-417.74364315935173
241,0.05,10,0.30000000000000004,3,-397.3539506951688
242,0.05,10,0.30000000000000004,4,-383.19892642365966
243,0.05,10,0.30000000000000004,5,-374.9594013564584
244,0.05,10,0.30000000000000004,6,-370.94928355032965
245,0.05,10,0.35000000000000003,2,-408.971759735724
246,0.05,10,0.35000000000000003,3,-385.7839232232333
247,0.05,10,0.35000000000000003,4,-369.81888123041597
248,0.05,10,0.35000000000000003,5,-360.66974163821527
249,0.05,10,0.35000000000000003,6,-356.24474126594646
250,0.05,10,0.4,2,-400.3938371327369
251,0.05,10,0.4,3,-374.55933873767145
252,0.05,10,0.4,4,-356.9280051916751
253,0.05,10,0.4,5,-347.0049644529453
254,0.05,10,0.4,6,-342.2414396754809
255,0.05,10,0.45,2,-392.00258711285835
256,0.05,10,0.45,3,-363.6692860093617
257,0.05,10,0.45,4,-344.51551591100485
258,0.05,10,0.45,5,-333.96335232481454
259,0.05,10,0.45,6,-328.94462019965533
260,0.05,10,0.5,2,-383.79153894332933
261,0.05,10,0.5,3,-353.1053900048798
262,0.05,10,0.5,4,-332.5756874646489
263,0.05,10,0.5,5,-321.55338891572967
264,0.05,10,0.5,6,-316.37356692894696
265,0.05,10,0.55,2,-375.7549675962423
266,0.05,10,0.55,3,-342.8619376029972
267,0.05,10,0.55,4,-321.1084202655598
268,0.05,10,0.55,5,-309.7961814476825
269,0.05,10,0.55,6,-304.56562604216657
270,0.05,10,0.6000000000000001,2,-367.8878398347712
271,0.05,10,0.6000000000000001,3,-332.9362045681929
272,0.05,10,0.6000000000000001,4,-310.12029920463203
273,0.05,10,0.6000000000000001,5,-298.72955324743106
274,0.05,10,0.6000000000000001,6,-293.5829790774547
275,0.05,10,0.65,2,-360.185776482616
276,0.05,10,0.65,3,-323.32910284485894
277,0.05,10,0.65,4,-299.6264295172429
278,0.05,10,0.65,5,-288.41502311867026
279,0.05,10,0.65,6,-283.52430039149414
280,0.05,10,0.7000000000000001,2,-352.64503027616627
281,0.05,10,0.7000000000000001,3,-314.0464017065173
282,0.05,10,0.7000000000000001,4,-289.65363899862314
283,0.05,10,0.7000000000000001,5,-278.9501927499995
284,0.05,10,0.7000000000000001,6,-274.54577338802795
285,0.05,10,0.75,2,-345.26247985381775
286,0.05,10,0.75,3,-305.1011040022415
287,0.05,10,0.75,4,-280.2463447049081
288,0.05,10,0.75,5,-270.4922467840291
289,0.05,10,0.75,6,-266.9017393874338
290,0.05,10,0.8,2,-338.03564183183744
291,0.05,10,0.8,3,-296.5184739737475
292,0.05,10,0.8,4,-271.4783134475391
293,0.05,10,0.8,5,-263.30712551548845
294,0.05,10,0.8,6,-261.0315810792012
295,0.05,10,0.8500000000000001,2,-330.96270482400433
296,0.05,10,0.8500000000000001,3,-288.34827536447335
297,0.05,10,0.8500000000000001,4,-263.479867120809
298,0.05,10,0.8500000000000001,5,-257.8883899775085
299,0.05,10,0.8500000000000001,6,-257.7743275915646
300,0.05,10,0.9,2,-324.0425921356237
301,0.05,10,0.9,3,-280.70217331625383
302,0.05,10,0.9,4,-256.51728479414305
303,0.05,10,0.9,5,-255.3179386793485
304,0.05,10,0.9,6,-259.0331646465572
305,0.05,10,0.9500000000000001,2,-317.2750645196263
306,0.05,10,0.9500000000000001,3,-273.92873133651347
