,alpha,beta,rho,K,loglike
2166,0.1,45,0.65,3,-368.065269395884
2167,0.1,45,0.65,4,-374.25315022663034
2168,0.1,45,0.65,5,-381.8664207793346
2169,0.1,45,0.65,6,-386.0884772140421
2170,0.1,45,0.7000000000000001,2,-363.3720993137745
2171,0.1,45,0.7000000000000001,3,-369.4959967545752
2172,0.1,45,0.7000000000000001,4,-376.6955328124429
2173,0.1,45,0.7000000000000001,5,-385.8532599723808
2174,0.1,45,0.7000000000000001,6,-391.04985968165704
2175,0.1,45,0.75,2,-364.0650245346211
2176,0.1,45,0.75,3,-371.0629875239756
2177,0.1,45,0.75,4,-379.44441022964725
2178,0.1,45,0.75,5,-390.5495073710744
2179,0.1,45,0.75,6,-397.02897074050344
2180,0.1,45,0.8,2,-364.7918947512935
2181,0.1,45,0.8,3,-372.8003262280769
2182,0.1,45,0.8,4,-382.58580821964506
2183,0.1,45,0.8,5,-396.23581139604016
2184,0.1,45,0.8,6,-404.4811948549368
2185,0.1,45,0.8500000000000001,2,-365.55540865173225
2186,0.1,45,0.8500000000000001,3,-374.7659598206095
2187,0.1,45,0.8500000000000001,4,-386.2613697843733
2188,0.1,45,0.8500000000000001,5,-403.4192753181311
2189,0.1,45,0.8500000000000001,6,-414.2602708505673
2190,0.1,45,0.9,2,-366.3587141368708
2191,0.1,45,0.9,3,-377.0791637927458
2192,0.1,45,0.9,4,-390.747856169637
2193,0.1,45,0.9,5,-413.19429774776773
2194,0.1,45,0.9,6,-428.28294043496294
2195,0.1,45,0.9500000000000001,2,-367.20553712368354
2196,0.1,45,0.9500000000000001,3,-380.0955934937806
2197,0.1,45,0.9500000000000001,4,-396.8154648153664
2198,0.1,45,0.9500000000000001,5,-428.9172607973692
2199,0.1,45,0.9500000000000001,6,-452.66547348912064
2200,0.1,45,1.0,2,-368.1003667068269
2201,0.1,45,1.0,3,-426.35139252352513
2202,0.1,45,1.0,4,-482.5712708925382
2203,0.1,45,1.0,5,-936.0536258309022
2204,0.1,45,1.0,6,-1324.1878019959643
2205,0.1,50,0.0,2,-380.1006750031546
2206,0.1,50,0.0,3,-380.1006750031546
2207,0.1,50,0.0,4,-380.1006750031546
2208,0.1,50,0.0,5,-380.1006750031546
2209,0.1,50,0.0,6,-380.1006750031546
2210,0.1,50,0.05,2,-380.5594023977736
2211,0.1,50,0.05,3,-380.8216617991714
2212,0.1,50,0.05,4,-381.0788054360855
2213,0.1,50,0.05,5,-381.33776210433166
2214,0.1,50,0.05,6,-381.46370239469684
2215,0.1,50,0.1,2,-381.03380018845445
2216,0.1,50,0.1,3,-381.57825646241906
2217,0.1,50,0.1,4,-382.11636437776104
2218,0.1,50,0.1,5,-382.6621658041315
2219,0.1,50,0.1,6,-382.92925298593093
2220,0.1,50,0.15000000000000002,2,-381.5245362756019
2221,0.1,50,0.15000000000000002,3,-382.37285567460196
2222,0.1,50,0.15000000000000002,4,-383.2183845584819
2223,0.1,50,0.15000000000000002,5,-384.0828753507172
2224,0.1,50,0.15000000000000002,6,-384.5087118315804
2225,0.1,50,0.2,2,-382.0323300886257
2226,0.1,50,0.2,3,-383.20814726655993
2227,0.1,50,0.2,4,-384.3906205424032
2228,0.1,50,0.2,5,-385.610416373241
2229,0.1,50,0.2,6,-386.2155437754938
2230,0.1,50,0.25,2,-382.55795845255125
2231,0.1,50,0.25,3,-384.0871644769164
2232,0.1,50,0.25,4,-385.6396977822463
2233,0.1,50,0.25,5,-387.2572244827097
2234,0.1,50,0.25,6,-388.0658307669464
2235,0.1,50,0.30000000000000004,2,-383.1022624049994
2236,0.1,50,0.30000000000000004,3,-385.0133550564277
2237,0.1,50,0.30000000000000004,4,-386.97330387307636
2238,0.1,50,0.30000000000000004,5,-389.0381412285896
2239,0.1,50,0.30000000000000004,6,-390.0789948476141
2240,0.1,50,0.35000000000000003,2,-383.6661551708888
2241,0.1,50,0.35000000000000003,3,-385.9906708958355
2242,0.1,50,0.35000000000000003,4,-388.40043783400944
2243,0.1,50,0.35000000000000003,5,-390.971084445623
2244,0.1,50,0.35000000000000003,6,-392.2787895484517
2245,0.1,50,0.4,2,-384.25063156058394
2246,0.1,50,0.4,3,-387.02368676235835
2247,0.1,50,0.4,4,-389.9317409497094
2248,0.1,50,0.4,5,-393.07797311929244
2249,0.1,50,0.4,6,-394.6946889274101
2250,0.1,50,0.45,2,-384.85677913602
2251,0.1,50,0.45,3,-388.11776156235646
2252,0.1,50,0.45,4,-391.57994520043985
2253,0.1,50,0.45,5,-395.38603397598365
2254,0.1,50,0.45,6,-397.3638824527186
2255,0.1,50,0.5,2,-385.4857915972672
2256,0.1,50,0.5,3,-389.27926391521504
2257,0.1,50,0.5,4,-393.36049637798504
2258,0.1,50,0.5,5,-397.92969898587836
2259,0.1,50,0.5,6,-400.33422338699773
2260,0.1,50,0.55,2,-386.1389849920037
2261,0.1,50,0.55,3,-390.51589901493173
2262,0.1,50,0.55,4,-395.2924461491933
2263,0.1,50,0.55,5,-400.75345228700417
2264,0.1,50,0.55,6,-403.6687359236706
2265,0.1,50,0.6000000000000001,2,-386.81781756242583
2266,0.1,50,0.6000000000000001,3,-391.8372029112991
2267,0.1,50,0.6000000000000001,4,-397.3997765245286
2268,0.1,50,0.6000000000000001,5,-403.9162718470841
2269,0.1,50,0.6000000000000001,6,-407.4527881576308
2270,0.1,50,0.65,2,-387.5239143493375
2271,0.1,50,0.65,3,-393.2553301258301
2272,0.1,50,0.65,4,-399.7134577363387
2273,0.1,50,0.65,5,-407.49889843191147
2274,0.1,50,0.65,6,-411.8060800047343
2275,0.1,50,0.7000000000000001,2,-388.2590981213048
2276,0.1,50,0.7000000000000001,3,-394.78639337874733
2277,0.1,50,0.7000000000000001,4,-402.27483695239937
2278,0.1,50,0.7000000000000001,5,-411.61646508630713
2279,0.1,50,0.7000000000000001,6,-416.90393479170734
2280,0.1,50,0.75,2,-389.02542886941296
2281,0.1,50,0.75,3,-396.45294072339925
2282,0.1,50,0.75,4,-405.1416627400275
2283,0.1,50,0.75,5,-416.44220087243957
2284,0.1,50,0.75,6,-423.0181790781743
2285,0.1,50,0.8,2,-389.82525514270674
2286,0.1,50,0.8,3,-398.28906971690196
2287,0.1,50,0.8,4,-408.3999798489775
2288,0.1,50,0.8,5,-422.256775630619
2289,0.1,50,0.8,6,-430.6042205312017
2290,0.1,50,0.8500000000000001,2,-390.6612821344587
2291,0.1,50,0.8500000000000001,3,-400.35273976952095
2292,0.1,50,0.8500000000000001,4,-412.1914494127142
2293,0.1,50,0.8500000000000001,5,-429.56730976919283
2294,0.1,50,0.8500000000000001,6,-440.51581553589733
2295,0.1,50,0.9,2,-391.5366640939309
2296,0.1,50,0.9,3,-402.7632377042075
2297,0.1,50,0.9,4,-416.7928493124083
2298,0.1,50,0.9,5,-439.46820594285833
2299,0.1,50,0.9,6,-454.669705620954
2300,0.1,50,0.9500000000000001,2,-392.4551331337757
2301,0.1,50,0.9500000000000001,3,-405.8762251798681
2302,0.1,50,0.9500000000000001,4,-422.9743880780143
2303,0.1,50,0.9500000000000001,5,-455.31577568346563
2304,0.1,50,0.9500000000000001,6,-479.18205791346327
2305,0.1,50,1.0,2,-393.4211843953504
2306,0.1,50,1.0,3,-449.50226582413825
2307,0.1,50,1.0,4,-505.4096431664891
2308,0.1,50,1.0,5,-947.455652804673
2309,0.1,50,1.0,6,-1324.1878019959643
2310,0.15000000000000002,1,0.0,2,-825.9858066404977
2311,0.15000000000000002,1,0.0,3,-825.9858066404977
2312,0.15000000000000002,1,0.0,4,-825.9858066404977
2313,0.15000000000000002,1,0.0,5,-825.9858066404977
2314,0.15000000000000002,1,0.0,6,-825.9858066404977
2315,0.15000000000000002,1,0.05,2,-799.3483280685552
2316,0.15000000000000002,1,0.05,3,-789.1237919494062
2317,0.15000000000000002,1,0.05,4,-781.6650465732087
2318,0.15000000000000002,1,0.05,5,-776.9359482393129
2319,0.15000000000000002,1,0.05,6,-774.5913916507296
2320,0.15000000000000002,1,0.1,2,-773.7955656788073
2321,0.15000000000000002,1,0.1,3,-754.190235861885
2322,0.15000000000000002,1,0.1,4,-740.0188355192132
2323,0.15000000000000002,1,0.1,5,-731.1138365560677
2324,0.15000000000000002,1,0.1,6,-726.7249253886355
2325,0.15000000000000002,1,0.15000000000000002,2,-749.2347287468626
2326,0.15000000000000002,1,0.15000000000000002,3,-720.9931756354127
2327,0.15000000000000002,1,0.15000000000000002,4,-700.7570489474398
2328,0.15000000000000002,1,0.15000000000000002,5,-688.1526986159711
2329,0.15000000000000002,1,0.15000000000000002,6,-681.9746874590699
2330,0.15000000000000002,1,0.2,2,-725.5862452656193
2331,0.15000000000000002,1,0.2,3,-689.3710552226574
2332,0.15000000000000002,1,0.2,4,-663.638989951297
2333,0.15000000000000002,1,0.2,5,-647.7520347310694
2334,0.15000000000000002,1,0.2,6,-640.0058629751338
2335,0.15000000000000002,1,0.25,2,-702.7812055347504
2336,0.15000000000000002,1,0.25,3,-659.1866079682707
2337,0.15000000000000002,1,0.25,4,-628.4631417462277
2338,0.15000000000000002,1,0.25,5,-609.6637287252921
2339,0.15000000000000002,1,0.25,6,-600.544232378591
2340,0.15000000000000002,1,0.30000000000000004,2,-680.7594343906007
2341,0.15000000000000002,1,0.30000000000000004,3,-630.3223062262148
2342,0.15000000000000002,1,0.30000000000000004,4,-595.0596455703883
2343,0.15000000000000002,1,0.30000000000000004,5,-573.6820484660384
2344,0.15000000000000002,1,0.30000000000000004,6,-563.3645787579067
2345,0.15000000000000002,1,0.35000000000000003,2,-659.468009844275
2346,0.15000000000000002,1,0.35000000000000003,3,-602.6769269232177
2347,0.15000000000000002,1,0.35000000000000003,4,-563.2847174757377
2348,0.15000000000000002,1,0.35000000000000003,5,-539.6364425311282
2349,0.15000000000000002,1,0.35000000000000003,6,-528.2824957085869
2350,0.15000000000000002,1,0.4,2,-638.8601064495504
2351,0.15000000000000002,1,0.4,3,-576.1629371401531
2352,0.15000000000000002,1,0.4,4,-533.0164951805538
2353,0.15000000000000002,1,0.4,5,-507.38645753889296
2354,0.15000000000000002,1,0.4,6,-495.148808441723
2355,0.15000000000000002,1,0.45,2,-618.8940800186
2356,0.15000000000000002,1,0.45,3,-550.7045046821345
2357,0.15000000000000002,1,0.45,4,-504.15198853534605
2358,0.15000000000000002,1,0.45,5,-476.81839216946514
2359,0.15000000000000002,1,0.45,6,-463.8462001694216
2360,0.15000000000000002,1,0.5,2,-599.532735289226
2361,0.15000000000000002,1,0.5,3,-526.23600944071
2362,0.15000000000000002,1,0.5,4,-476.6049382588758
2363,0.15000000000000002,1,0.5,5,-447.8435433177076
2364,0.15000000000000002,1,0.5,6,-434.28796750118806
2365,0.15000000000000002,1,0.55,2,-580.7427349214867
2366,0.15000000000000002,1,0.55,3,-502.7009882136133
2367,0.15000000000000002,1,0.55,4,-450.30449786342734
2368,0.15000000000000002,1,0.55,5,-420.3981531363601
2369,0.15000000000000002,1,0.55,6,-406.41921244590884
2370,0.15000000000000002,1,0.6000000000000001,2,-562.4941197822527
2371,0.15000000000000002,1,0.6000000000000001,3,-480.0515032370338
2372,0.15000000000000002,1,0.6000000000000001,4,-425.19477254056704
2373,0.15000000000000002,1,0.6000000000000001,5,-394.44552279223205
2374,0.15000000000000002,1,0.6000000000000001,6,-380.2213652764835
2375,0.15000000000000002,1,0.65,2,-544.7599187175218
2376,0.15000000000000002,1,0.65,3,-458.2480042648674
2377,0.15000000000000002,1,0.65,4,-401.2354207358682
2378,0.15000000000000002,1,0.65,5,-369.98139443273595
2379,0.15000000000000002,1,0.65,6,-355.7220327146191
2380,0.15000000000000002,1,0.7000000000000001,2,-527.5158321033405
2381,0.15000000000000002,1,0.7000000000000001,3,-437.25990092422506
2382,0.15000000000000002,1,0.7000000000000001,4,-378.40384483646494
2383,0.15000000000000002,1,0.7000000000000001,5,-347.0450374881897
2384,0.15000000000000002,1,0.7000000000000001,6,-333.01454613643546
2385,0.15000000000000002,1,0.75,2,-510.7399782182835
2386,0.15000000000000002,1,0.75,3,-417.0673987105402
2387,0.15000000000000002,1,0.75,4,-356.70022229041865
2388,0.15000000000000002,1,0.75,5,-325.7416802663166
2389,0.15000000000000002,1,0.75,6,-312.29740925819146
2390,0.15000000000000002,1,0.8,2,-494.41269550879804
2391,0.15000000000000002,1,0.8,3,-397.6660737254868
2392,0.15000000000000002,1,0.8,4,-336.15857080466554
2393,0.15000000000000002,1,0.8,5,-306.29079858608173
2394,0.15000000000000002,1,0.8,6,-293.9601911220905
2395,0.15000000000000002,1,0.8500000000000001,2,-478.5163976811632
2396,0.15000000000000002,1,0.8500000000000001,3,-379.07872831885504
2397,0.15000000000000002,1,0.8500000000000001,4,-316.87337120179996
2398,0.15000000000000002,1,0.8500000000000001,5,-289.1442442848092
2399,0.15000000000000002,1,0.8500000000000001,6,-278.79730861142895
2400,0.15000000000000002,1,0.9,2,-463.03548289630953
2401,0.15000000000000002,1,0.9,3,-361.3924681686853
2402,0.15000000000000002,1,0.9,4,-299.07847851081544
2403,0.15000000000000002,1,0.9,5,-275.34634429829896
2404,0.15000000000000002,1,0.9,6,-268.6718489765174
2405,0.15000000000000002,1,0.9500000000000001,2,-447.95630411793485
2406,0.15000000000000002,1,0.9500000000000001,3,-344.9334218445482
2407,0.15000000000000002,1,0.9500000000000001,4,-283.50493955705736
2408,0.15000000000000002,1,0.9500000000000001,5,-268.20797904226765
2409,0.15000000000000002,1,0.9500000000000001,6,-269.65142387468796
2410,0.15000000000000002,1,1.0,2,-433.2672165413109
2411,0.15000000000000002,1,1.0,3,-394.29289704466913
2412,0.15000000000000002,1,1.0,4,-375.31805577578524
2413,0.15000000000000002,1,1.0,5,-870.7174856572141
2414,0.15000000000000002,1,1.0,6,-1324.1878019959643
2415,0.15000000000000002,5,0.0,2,-426.97470586126883
2416,0.15000000000000002,5,0.0,3,-426.97470586126883
2417,0.15000000000000002,5,0.0,4,-426.97470586126883
2418,0.15000000000000002,5,0.0,5,-426.97470586126883
2419,0.15000000000000002,5,0.0,6,-426.97470586126883
2420,0.15000000000000002,5,0.05,2,-418.9301819321362
2421,0.15000000000000002,5,0.05,3,-415.8811787073917
2422,0.15000000000000002,5,0.05,4,-413.7072551010931
2423,0.15000000000000002,5,0.05,5,-412.4016460763585
2424,0.15000000000000002,5,0.05,6,-411.7550848159427
2425,0.15000000000000002,5,0.1,2,-411.06319394241444
2426,0.15000000000000002,5,0.1,3,-405.11018076785194
2427,0.15000000000000002,5,0.1,4,-400.8951038273274
2428,0.15000000000000002,5,0.1,5,-398.3905804882295
2429,0.15000000000000002,5,0.1,6,-397.1553876689336
2430,0.15000000000000002,5,0.15000000000000002,2,-403.3653532900515
2431,0.15000000000000002,5,0.15000000000000002,3,-394.6453543927534
2432,0.15000000000000002,5,0.15000000000000002,4,-388.5149553013143
2433,0.15000000000000002,5,0.15000000000000002,5,-384.91455991705624
2434,0.15000000000000002,5,0.15000000000000002,6,-383.14657615669637
2435,0.15000000000000002,5,0.2,2,-395.8292773468661
2436,0.15000000000000002,5,0.2,3,-384.4727904545223
2437,0.15000000000000002,5,0.2,4,-376.54768946310605
2438,0.15000000000000002,5,0.2,5,-371.95273695791656
2439,0.15000000000000002,5,0.2,6,-369.70696038726226
2440,0.15000000000000002,5,0.25,2,-388.44844516358245
2441,0.15000000000000002,5,0.25,3,-374.5807278695137
2442,0.15000000000000002,5,0.25,4,-364.97792278381775
2443,0.15000000000000002,5,0.25,5,-359.4899375950912
2444,0.15000000000000002,5,0.25,6,-356.8217910774133
2445,0.15000000000000002,5,0.30000000000000004,2,-381.21708508932085
2446,0.15000000000000002,5,0.30000000000000004,3,-364.95934254976305
2447,0.15000000000000002,5,0.30000000000000004,4,-353.79373697139255
2448,0.15000000000000002,5,0.30000000000000004,5,-347.5165313207134
2449,0.15000000000000002,5,0.30000000000000004,6,-344.4832486153803
2450,0.15000000000000002,5,0.35000000000000003,2,-374.1300867629546
2451,0.15000000000000002,5,0.35000000000000003,3,-355.60061267640543
2452,0.15000000000000002,5,0.35000000000000003,4,-342.9865600425625
2453,0.15000000000000002,5,0.35000000000000003,5,-336.0286061347643
2454,0.15000000000000002,5,0.35000000000000003,6,-332.69085618521325
2455,0.15000000000000002,5,0.4,2,-367.18293223628615
2456,0.15000000000000002,5,0.4,3,-346.49825553224343
2457,0.15000000000000002,5,0.4,4,-332.551200398683
2458,0.15000000000000002,5,0.4,5,-325.0284963643283
2459,0.15000000000000002,5,0.4,6,-321.45240724174573
2460,0.15000000000000002,5,0.45,2,-360.37164258353005
2461,0.15000000000000002,5,0.45,3,-337.6477396425934
2462,0.15000000000000002,5,0.45,4,-322.48605340358125
2463,0.15000000000000002,5,0.45,5,-314.5257673760334
2464,0.15000000000000002,5,0.45,6,-310.78558768641835
2465,0.15000000000000002,5,0.5,2,-353.6927375060785
2466,0.15000000000000002,5,0.5,3,-329.0463868843483
2467,0.15000000000000002,5,0.5,4,-312.79352542022826
2468,0.15000000000000002,5,0.5,5,-304.5388494615336
2469,0.15000000000000002,5,0.5,6,-300.7206201288768
2470,0.15000000000000002,5,0.55,2,-347.1432063286594
2471,0.15000000000000002,5,0.55,3,-320.69359620699186
2472,0.15000000000000002,5,0.55,4,-303.48076051438056
2473,0.15000000000000002,5,0.55,5,-295.09766685578614
2474,0.15000000000000002,5,0.55,6,-291.30452050502345
2475,0.15000000000000002,5,0.6000000000000001,2,-340.7204895235673
2476,0.15000000000000002,5,0.6000000000000001,3,-312.59125105023236
2477,0.15000000000000002,5,0.6000000000000001,4,-294.5608264372867
2478,0.15000000000000002,5,0.6000000000000001,5,-286.247897764734
2479,0.15000000000000002,5,0.6000000000000001,6,-282.60806290953275
2480,0.15000000000000002,5,0.65,2,-334.42247058998475
2481,0.15000000000000002,5,0.65,3,-304.7444332631313
2482,0.15000000000000002,5,0.65,4,-286.0546556518803
2483,0.15000000000000002,5,0.65,5,-278.05809078781516
2484,0.15000000000000002,5,0.65,6,-274.73759325125906
2485,0.15000000000000002,5,0.7000000000000001,2,-328.24747884837564
2486,0.15000000000000002,5,0.7000000000000001,3,-297.16269988450557
2487,0.15000000000000002,5,0.7000000000000001,4,-277.994334772088
2488,0.15000000000000002,5,0.7000000000000001,5,-270.6321654337781
2489,0.15000000000000002,5,0.7000000000000001,6,-267.8561739609978
2490,0.15000000000000002,5,0.75,2,-322.1943045960475
2491,0.15000000000000002,5,0.75,3,-289.8625061877174
2492,0.15000000000000002,5,0.75,4,-270.4290441633176
2493,0.15000000000000002,5,0.75,5,-264.1330062696206
2494,0.15000000000000002,5,0.75,6,-262.22433939177057
2495,0.15000000000000002,5,0.8,2,-316.2622292665147
2496,0.15000000000000002,5,0.8,3,-282.8722731350709
2497,0.15000000000000002,5,0.8,4,-263.4368797912192
2498,0.15000000000000002,5,0.8,5,-258.83171443523
2499,0.15000000000000002,5,0.8,6,-258.287068255691
2500,0.15000000000000002,5,0.8500000000000001,2,-310.4510749946935
2501,0.15000000000000002,5,0.8500000000000001,3,-276.2446592701461
2502,0.15000000000000002,5,0.8500000000000001,4,-257.1521105203138
2503,0.15000000000000002,5,0.8500000000000001,5,-255.22653919771068
2504,0.15000000000000002,5,0.8500000000000001,6,-256.8884635278838
2505,0.15000000000000002,5,0.9,2,-304.7612807509177
2506,0.15000000000000002,5,0.9,3,-270.09399157544266
2507,0.15000000000000002,5,0.9,4,-251.84462449189573
2508,0.15000000000000002,5,0.9,5,-254.40365108768935
2509,0.15000000000000002,5,0.9,6,-259.93632593214517
2510,0.15000000000000002,5,0.9500000000000001,2,-299.19401677779126
2511,0.15000000000000002,5,0.9500000000000001,3,-264.7712874000176
2512,0.15000000000000002,5,0.9500000000000001,4,-248.27820095529637
2513,0.15000000000000002,5,0.9500000000000001,5,-259.7117894467142
2514,0.15000000000000002,5,0.9500000000000001,6,-273.53864025630315
2515,0.15000000000000002,5,1.0,2,-293.7513570157931
2516,0.15000000000000002,5,1.0,3,-323.1800033879779
2517,0.15000000000000002,5,1.0,4,-349.54159265989074
2518,0.15000000000000002,5,1.0,5,-864.9574249790154
2519,0.15000000000000002,5,1.0,6,-1324.1878019959643
2520,0.15000000000000002,10,0.0,2,-285.8926799090087
2521,0.15000000000000002,10,0.0,3,-285.8926799090087
2522,0.15000000000000002,10,0.0,4,-285.8926799090087
2523,0.15000000000000002,10,0.0,5,-285.8926799090087
2524,0.15000000000000002,10,0.0,6,-285.8926799090087
2525,0.15000000000000002,10,0.05,2,-283.49090661978477
2526,0.15000000000000002,10,0.05,3,-282.6393714383064
2527,0.15000000000000002,10,0.05,4,-282.08234374876554
2528,0.15000000000000002,10,0.05,5,-281.8179367999206
2529,0.15000000000000002,10,0.05,6,-281.6851751069918
2530,0.15000000000000002,10,0.1,2,-281.1459889984202
2531,0.15000000000000002,10,0.1,3,-279.49453998881904
2532,0.15000000000000002,10,0.1,4,-278.4317706902094
2533,0.15000000000000002,10,0.1,5,-277.9507027390792
2534,0.15000000000000002,10,0.1,6,-277.71121139717724
2535,0.15000000000000002,10,0.15000000000000002,2,-278.85670505678667
2536,0.15000000000000002,10,0.15000000000000002,3,-276.4566937388428
2537,0.15000000000000002,10,0.15000000000000002,4,-274.9401395607261
2538,0.15000000000000002,10,0.15000000000000002,5,-274.29255136694275
2539,0.15000000000000002,10,0.15000000000000002,6,-273.9738379296618
2540,0.15000000000000002,10,0.2,2,-276.6220450017631
2541,0.15000000000000002,10,0.2,3,-273.5249906923955
2542,0.15000000000000002,10,0.2,4,-271.60792233715944
2543,0.15000000000000002,10,0.2,5,-270.8473464707467
2544,0.15000000000000002,10,0.2,6,-270.47905186104987
2545,0.15000000000000002,10,0.25,2,-274.44119693768687
2546,0.15000000000000002,10,0.25,3,-270.69924616039225
2547,0.15000000000000002,10,0.25,4,-268.4369561182665
2548,0.15000000000000002,10,0.25,5,-267.62151083407264
2549,0.15000000000000002,10,0.25,6,-267.2362126387629
2550,0.15000000000000002,10,0.30000000000000004,2,-272.31353682312874
2551,0.15000000000000002,10,0.30000000000000004,3,-267.9799628676737
2552,0.15000000000000002,10,0.30000000000000004,4,-265.43057036849945
2553,0.15000000000000002,10,0.30000000000000004,5,-264.6244355949738
2554,0.15000000000000002,10,0.30000000000000004,6,-264.2586636162588
2555,0.15000000000000002,10,0.35000000000000003,2,-270.23862223227985
2556,0.15000000000000002,10,0.35000000000000003,3,-265.3683878113353
2557,0.15000000000000002,10,0.35000000000000003,4,-262.59378262640166
2558,0.15000000000000002,10,0.35000000000000003,5,-261.8690784296103
2559,0.15000000000000002,10,0.35000000000000003,6,-261.5646392447701
2560,0.15000000000000002,10,0.4,2,-268.21618968110533
2561,0.15000000000000002,10,0.4,3,-262.8666032603902
2562,0.15000000000000002,10,0.4,4,-259.9335841835287
2563,0.15000000000000002,10,0.4,5,-259.372827842547
2564,0.15000000000000002,10,0.4,6,-259.17858364222366
2565,0.15000000000000002,10,0.45,2,-266.24615546945654
2566,0.15000000000000002,10,0.45,3,-260.4776643842044
2567,0.15000000000000002,10,0.45,4,-257.45935018863184
2568,0.15000000000000002,10,0.45,5,-257.15875856596494
2569,0.15000000000000002,10,0.45,6,-257.13308609759974
2570,0.15000000000000002,10,0.5,2,-264.3286201823855
2571,0.15000000000000002,10,0.5,3,-258.2058045636807
2572,0.15000000000000002,10,0.5,4,-255.18343003951085
2573,0.15000000000000002,10,0.5,5,-255.25748553401223
2574,0.15000000000000002,10,0.5,6,-255.47177910489597
2575,0.15000000000000002,10,0.55,2,-262.4638772077488
2576,0.15000000000000002,10,0.55,3,-256.0567447817878
2577,0.15000000000000002,10,0.55,4,-253.12201134674507
2578,0.15000000000000002,10,0.55,5,-253.70997358482654
2579,0.15000000000000002,10,0.55,6,-254.2538025603211
2580,0.15000000000000002,10,0.6000000000000001,2,-260.65242588816136
2581,0.15000000000000002,10,0.6000000000000001,3,-254.0381727616562
2582,0.15000000000000002,10,0.6000000000000001,4,-251.29642014671592
2583,0.15000000000000002,10,0.6000000000000001,5,-252.57194713368125
2584,0.15000000000000002,10,0.6000000000000001,6,-253.56093992879235
2585,0.15000000000000002,10,0.65,2,-258.89499026845004
2586,0.15000000000000002,10,0.65,3,-252.16051739422568
2587,0.15000000000000002,10,0.65,4,-249.7351577421926
2588,0.15000000000000002,10,0.65,5,-251.9211315382098
2589,0.15000000000000002,10,0.65,6,-253.50957449153765
2590,0.15000000000000002,10,0.7000000000000001,2,-257.19254487749225
2591,0.15000000000000002,10,0.7000000000000001,3,-250.43827693065168
2592,0.15000000000000002,10,0.7000000000000001,4,-248.47727109114828
2593,0.15000000000000002,10,0.7000000000000001,5,-251.869858708526
2594,0.15000000000000002,10,0.7000000000000001,6,-254.2719536319405
2595,0.15000000000000002,10,0.75,2,-255.5463496793007
2596,0.15000000000000002,10,0.75,3,-248.8924859953128
2597,0.15000000000000002,10,0.75,4,-247.57836125443865
2598,0.15000000000000002,10,0.75,5,-252.5887502620584
2599,0.15000000000000002,10,0.75,6,-256.11704522045613
2600,0.15000000000000002,10,0.8,2,-253.9579973812864
2601,0.15000000000000002,10,0.8,3,-247.55582086878755
2602,0.15000000000000002,10,0.8,4,-247.12246415996225
2603,0.15000000000000002,10,0.8,5,-254.35604489731992
2604,0.15000000000000002,10,0.8,6,-259.4975958893979
2605,0.15000000000000002,10,0.8500000000000001,2,-252.42947793754504
2606,0.15000000000000002,10,0.8500000000000001,3,-246.48490410769344
2607,0.15000000000000002,10,0.8500000000000001,4,-247.24935860593249
2608,0.15000000000000002,10,0.8500000000000001,5,-257.6765949833671
2609,0.15000000000000002,10,0.8500000000000001,6,-265.26488434081296
2610,0.15000000000000002,10,0.9,2,-250.9632677615096
2611,0.15000000000000002,10,0.9,3,-245.79776386284098
2612,0.15000000000000002,10,0.9,4,-248.23405650886167
2613,0.15000000000000002,10,0.9,5,-263.64269575697233
2614,0.15000000000000002,10,0.9,6,-275.3333579555164
2615,0.15000000000000002,10,0.9500000000000001,2,-249.5624556675486
2616,0.15000000000000002,10,0.9500000000000001,3,-245.84888067502007
2617,0.15000000000000002,10,0.9500000000000001,4,-250.84511287891135
2618,0.15000000000000002,10,0.9500000000000001,5,-275.60878143937254
2619,0.15000000000000002,10,0.9500000000000001,6,-295.8171736702178
2620,0.15000000000000002,10,1.0,2,-248.2309254612581
2621,0.15000000000000002,10,1.0,3,-306.34835635007676
2622,0.15000000000000002,10,1.0,4,-354.29212285265976
2623,0.15000000000000002,10,1.0,5,-870.6914837107918
2624,0.15000000000000002,10,1.0,6,-1324.1878019959643
2625,0.15000000000000002,15,0.0,2,-267.7200987117655
2626,0.15000000000000002,15,0.0,3,-267.7200987117655
2627,0.15000000000000002,15,0.0,4,-267.7200987117655
2628,0.15000000000000002,15,0.0,5,-267.7200987117655
2629,0.15000000000000002,15,0.0,6,-267.7200987117655
2630,0.15000000000000002,15,0.05,2,-266.9262111681934
2631,0.15000000000000002,15,0.05,3,-266.70067485044336
2632,0.15000000000000002,15,0.05,4,-266.60208453873156
2633,0.15000000000000002,15,0.05,5,-266.6321606338323
2634,0.15000000000000002,15,0.05,6,-266.6445240708159
2635,0.15000000000000002,15,0.1,2,-266.1630749232989
2636,0.15000000000000002,15,0.1,3,-265.74351301602593
2637,0.15000000000000002,15,0.1,4,-265.5801730761939
2638,0.15000000000000002,15,0.1,5,-265.6754598069508
2639,0.15000000000000002,15,0.1,6,-265.7193392401382
2640,0.15000000000000002,15,0.15000000000000002,2,-265.43081929189884
2641,0.15000000000000002,15,0.15000000000000002,3,-264.8499059904991
2642,0.15000000000000002,15,0.15000000000000002,4,-264.65773800120485
2643,0.15000000000000002,15,0.15000000000000002,5,-264.8568842511743
2644,0.15000000000000002,15,0.15000000000000002,6,-264.95356982023947
2645,0.15000000000000002,15,0.2,2,-264.7296598332925
