alpha,beta,rho,K,loglike
0.05,5,0.5,5,-397.92508267549925
0.05,5,0.5,6,-388.3013655211687
0.05,5,0.55,2,-497.50430677055255
0.05,5,0.55,3,-439.56334129730607
0.05,5,0.55,4,-399.9935458439693
0.05,5,0.55,5,-377.3488881493937
0.05,5,0.55,6,-367.4850189075063
0.05,5,0.6000000000000001,2,-484.3165245685741
0.05,5,0.6000000000000001,3,-422.86852896574237
0.05,5,0.6000000000000001,4,-381.2383839965574
0.05,5,0.6000000000000001,5,-357.86282865085906
0.05,5,0.6000000000000001,6,-347.93001668153954
0.05,5,0.65,2,-471.50176414248546
0.05,5,0.65,3,-406.79787274673157
0.05,5,0.65,4,-363.33918033894264
0.05,5,0.65,5,-339.5028960835666
0.05,5,0.65,6,-329.7116686117743
0.05,5,0.7000000000000001,2,-459.0629806315729
0.05,5,0.7000000000000001,3,-391.3610192871672
0.05,5,0.7000000000000001,4,-346.3181643125146
0.05,5,0.7000000000000001,5,-322.3445568212196
0.05,5,0.7000000000000001,6,-312.9689918894805
0.05,5,0.75,2,-447.01250405512445
0.05,5,0.75,3,-376.58676765646624
0.05,5,0.75,4,-330.22678572376003
0.05,5,0.75,5,-306.52613141323855
0.05,5,0.75,6,-297.9472123345426
0.05,5,0.8,2,-435.379256459184
0.05,5,0.8,3,-362.5375894540421
0.05,5,0.8,4,-315.1664489258269
0.05,5,0.8,5,-292.2980554901741
0.05,5,0.8,6,-285.0891360848763
0.05,5,0.8500000000000001,2,-424.2266491596106
0.05,5,0.8500000000000001,3,-349.345561528523
0.05,5,0.8500000000000001,4,-301.33863557241904
0.05,5,0.8500000000000001,5,-280.1421493757717
0.05,5,0.8500000000000001,6,-275.26139270838945
0.05,5,0.9,2,-413.7080177372533
0.05,5,0.9,3,-337.32345610064567
0.05,5,0.9,4,-289.19672826625646
0.05,5,0.9,5,-271.1332959690335
0.05,5,0.9,6,-270.4556220746651
0.05,5,0.9500000000000001,2,-404.3281123392398
0.05,5,0.9500000000000001,3,-327.48808036611723
0.05,5,0.9500000000000001,4,-280.150346652888
0.05,5,0.9500000000000001,5,-268.61612216063224
0.05,5,0.9500000000000001,6,-277.0989484332635
0.05,5,1.0,2,-479.3306179467027
0.05,5,1.0,3,-487.0694094378485
0.05,5,1.0,4,-506.5869478867792
0.05,5,1.0,5,-923.2660283592057
0.05,5,1.0,6,-1497.1083604553046
0.05,10,0.0,2,-481.7005899262395
0.05,10,0.0,3,-481.7005899262395
0.05,10,0.0,4,-481.7005899262395
0.05,10,0.0,5,-481.7005899262395
0.05,10,0.0,6,-481.7005899262395
0.05,10,0.05,2,-471.64167134065514
0.05,10,0.05,3,-467.715666074366
0.05,10,0.05,4,-464.8623260662505
0.05,10,0.05,5,-463.0936968696865
0.05,10,0.05,6,-462.25834875216043
0.05,10,0.1,2,-461.85715238970494
0.05,10,0.1,3,-454.22104687925076
0.05,10,0.1,4,-448.7073152359685
0.05,10,0.1,5,-445.3201626150028
